patent_number,patent_title,patent_abstract,patent_date,patent_type
10531146,Lean private copy of media content within network-based digital video recordings,"Described herein are techniques and mechanisms for providing a lean private copy of media content. According to various embodiments, a private copy of a media content item may be made specific to a user account. For example, to use a private copy of a media content item to present that media content item, a client machine may need to first perform operations such as account authentication, content licensing, and device-based DRM. The private copy of the media content item may be significantly deduplicated such that the actual size on disk of the private copy is small relative to the size of the uncompressed media content item. The private copy of the media content item may include reference information which maps the user account associated with the copy to data files associated with the recording.",2020-01-07,utility
10531147,Adaptive transcoding bypass system,"The subject system allows a source device providing a content stream over a network connection to a sink device to adaptively bypass a transcoding portion of a content processing pipeline when the original content stream, e.g. the non-transcoded content stream, can be decoded by the sink device and/or when no actions that utilize transcoding have been requested for the content stream. The source device may power down the transcoding portion of the content processing pipeline when the transcoding portion is not in use. When an action that utilizes transcoding is requested, and the transcoding portion of the pipeline is being bypassed, the source device may power on the transcoding portion and adaptively modify the pipeline to pass the content stream through the transcoding portion. The source device may provide configuration messages to the sink device when the pipeline is modified to provide information for decoding the transcoded content stream.",2020-01-07,utility
10531161,Apparatus and methods for delivery of multicast and unicast content in a content delivery network,"Methods and apparatus for providing delivery of content to client devices of a network via both multicast and unicast mechanisms. In one embodiment, a system for use in a managed content delivery network is described to bridge multicast to unicast, so that the total network bandwidth consumption is significantly lower than a corresponding unicast-only delivery solution, yet which still provides improved quality of service and user viewing experience as compared to a multicast-only delivery solution. In addition, various exemplary aspects of the present disclosure are readily adapted for real-time multicast to unicast streaming of audio and data to, among other things, minimize network bandwidth usage, while maintaining the guaranteed delivery of unicast streams with little or no modification to the existing client device logic.",2020-01-07,utility
10531163,Planning and executing a strategic advertising campaign,"Systems and methods are disclosed for planning, executing, reviewing, and reporting the results of an advertising campaign to be run on TV. A demand-side platform receives ad slot opportunities from TV programming sources, and analyzes the ad slots to produce a prioritized list of placement opportunities for the advertising campaign to be presented to advertiser/clients. Each ad slot is analyzed with respect to past viewership data and with respect to desired targeting characteristics that may include conventional age and gender targeting, or additionally strategic targeting characteristics. Scores are established for each ad slot with respect to numbers of projected on-target impressions and/or a cost for projected on-target impressions. The scores are sorted to produce the prioritized list. Projected results can be viewed with respect to any or all of network, day, and daypart. After a campaign has completed, viewership data representing actual results is acquired, processed, and reported.",2020-01-07,utility
10531166,Metal ceramic composite for electromagnetic signal transparent materials,A system of a machine includes a network of a plurality of sensing/control/identification devices distributed throughout the machine. Each of the sensing/control/identification devices is associated with at least one sub-system component of the machine and operable to communicate through a plurality of electromagnetic signals. Shielding surrounds at least one of the sensing/control/identification devices to contain the electromagnetic signals proximate to the at least one sub-system component. A communication path is integrally formed in a component of the machine to route a portion of the electromagnetic signals through the component. The communication path comprises a material transparent to the electromagnetic signals. The system also includes a remote processing unit operable to communicate with the network of the sensing/control/identification devices through the electromagnetic signals.,2020-01-07,utility
10531230,Blockchain systems and methods for confirming presence,"Systems and methods for confirming the presence of a person or asset for a given purpose, and recording this information in a distributed ledger. The distributed ledger records and confirms presence indicia in connection with a transaction said facilitates remote and/or automated signatures. The systems and methods detect the presence of one or more humans and/or computing devices at a specific location at the time of a transaction, and contemporaneously recording information concerning the transaction in a distributed ledger. Presence can be determined using network presence sensing (NPS), other types of sensors, or the combination of NPS with other sensors.",2020-01-07,utility
10531233,Tracking service queues using single-point signal monitoring,A method of tracking a service queue using a single-point signal monitor in which at least one customer carries a wireless device may include: receiving a received signal strength from the wireless device as a trace; identify first segments of the trace containing mostly positive sloped received signal strength; identify second segments of the trace containing mostly negative sloped received signal; extract attributes from the first and second segments as child variables for two parent nodes in a Bayesian Network in which the two parent nodes respectively model a beginning of service and a leaving period for a service queue; and inputting the extracted attributes into Bayesian Network; and determining a beginning of service and leaving period using the Bayesian Network. The method may also include determining critical time points in a trace using a K-L divergence technique.,2020-01-07,utility
10531241,Network computer system to coordinate delivery of network content to service providers,"A network computer system can detect a triggering event, and in response to the detection of the triggering event, obtain a set of service parameters relating to a service session of a service provider. Additionally, the network computer system can obtain one or more content items from a plurality of network information services, based on the set of service parameters. In some examples, each of the one or more content items can include a set of feature data. In such examples, the network computer system can provide the set of feature data of each of the one or more content items to a computing device of the service provider. Additionally, the network computer system can utilize a set of prioritization rules to determine a prioritization between each of the one or more content items. Based on the prioritization and the feature data of each of the one or more content items, the network computer system can cause an application running on the computing device of the service provider to generate each of the one or more content items.",2020-01-07,utility
10531246,Method for sending targeted SMS messages to a roaming user,"A method of sending a targeted SMS message to a roamer. A messaging platform accesses signaling traffic between the roamer's user equipment, a visited network operator, and a home network operator. The messaging platform obtains the roamer's current location from the signaling traffic with the visited network operator and extracts demographic information associated with the roamer from data received from the home network operator. The messaging platform queries a messaging database for prestored messages corresponding to the roamer's current location. The messages corresponding to the roamer's current location are filtered based on the roamer's demographic information to identify the targeted message for the roamer, which is then transmitted to the roamer's user equipment.",2020-01-07,utility
10531249,"Downlink offloading and converging method, uplink offloading and converging method, and device","The present embodiments relate to a cellular radio access device sends, by using a non-cellular radio access device, a data frame to the UE served by the cellular radio access device, where the data frame includes a data packet that the cellular radio access device needs to send to the UE, and indication information used to indicate that the data packet is a cellular network data packet. The indication information is used by the UE to process the data packet by using a cellular network protocol according to the indication information.",2020-01-07,utility
10531251,Detecting and processing anomalous parameter data points by a mobile wireless data network forecasting system,"A computer-automated method is described for identifying and remediating anomalous data points for acquired performance parameter (e.g., KPI) values for components of a mobile wireless data network—such as PDSNs. The remediated data point sets is thereafter used as input to a forecasting model rendering a forecast for a mobile wireless network performance indicator/parameter. Data point sequence seasonality is exploited to improve the detection of anomalous data points. Furthermore, correcting data point sets is reiterated until changes between two iterations of the correction process are within a threshold magnitude for terminating the iterative data point sequence correction process.",2020-01-07,utility
10531252,Context oriented billing,"The present invention is directed toward networks and more particularly to a method and system for providing information related to context-oriented billing in such networks. In one more embodiments, a computer implemented method provides for billing invoices in response to one or more of a customer's network elements which have been correlated with detailed network data, classified into one or more billing event categories, and rated in accordance with a predetermined hierarchy.",2020-01-07,utility
10531255,Method and system for over-the-air provisioning of wireless HART (highway addressable remote transducer) devices,"Methods, systems and devices for OTAP (Over the Air Provisioning) of WirelessHART (Highway Addressable Remote Transducer) devices. A unique system level setting can be provided for enabling over the air provisioning of WirelessHART devices in a WirelessHART network having one or more field device access points. Each field device access point can be configured to be enabled/disabled to advertise in a specific WirelessHART network ID in association with a target WirelessHART network ID with respect to the WirelessHART network. A join key is provided in association with a new WirelessHART network ID to which at least one field device access point among the plurality of field device access points needs to be advertised along with a time limit, thereby enabling provisioning of the WirelessHART devices to a target wireless network, wherein the target WirelessHART network ID and the join key are written with respect to a new WirelessHART device. The new WirelessHART device can be then restarted. The WirelessHART network can be then disabled after provisioning is complete.",2020-01-07,utility
10531259,"Shipping controller in a network of moving things, for example including a network of autonomous vehicles","Systems and methods for shipping management in a network of moving things. As non-limiting examples, various aspects of this disclosure provide systems and methods for integrating sensors, mobile access points, and/or the network of moving things with shipping container management systems (e.g., port management systems, train management systems, trucking management systems, etc.).",2020-01-07,utility
10531260,Personal working system capable of being dynamically combined and adjusted,"The present disclosure provides a personal working system with a dynamic structure, including a central control unit, wherein the central control unit includes a peripheral identifying component for identifying a plurality of peripherals and connecting the plurality of identified peripherals to constitute a working system; a weak (or short-range) communication interface for communication between the central control unit and the peripherals; a strong (or medium-, or long-range) communication interface for communication between the central control unit and an external node; wherein the weak communication interface includes Bluetooth; and the strong communication interface includes a WiFi connection, an Internet connection, a Local Area Network connection, and a wireless telephone connection. An advantage of the present disclosure is that the peripherals will not be outdated and are universal outside of the system.",2020-01-07,utility
10531263,Terminal device and communication system,"A communication system including: a first terminal device capable of carrying out communication via a first communication network; and a second terminal device capable of carrying out communication via a second communication network, achieves higher usability after completion of use of the second terminal device. The second terminal device includes a second control section configured to: communicate with a predetermined server via the second communication network by use of user information, obtained from the first terminal device, about a user of the first terminal device; and save, on the predetermined server, data that is generated through the communication carried out by use of the user information at completion of that communication.",2020-01-07,utility
10531264,Method and apparatus for efficiently controlling access for system load adjustment in mobile communication systems,"The present invention relates to a method and apparatus for efficiently controlling access for system load adjustment in mobile communication systems. In a wireless communication system according to one embodiment, the method for transmitting and receiving data by a terminal including a user equipment (UE) non access stratum (NAS) and a UE access stratum (AS) includes the steps of: receiving by the UE AE, information including emergency call-related information which includes barring information by type for the emergency call, from a base station; transmitting, by the UE NAS, a service request for the emergency call to the UE AS; and determining, by the UE AS, whether to bar the service request on the basis of emergency call-related information. According to one embodiment, during the emergency call transmission, network congestion can be easily controlled by enabling various types of emergency calls to be transmitted, and enabling access to be barred information according to the situation of a communication network and types of emergency calls. Also, even when a specific type of emergency call is barred from access, the terminal can change to another type of emergency call and try for access. Therefore, it is effective in that an emergency call can be transmitted in various schemes even in a state where the network is congested.",2020-01-07,utility
10531267,Personal safety network,"A personal safety network (PSN) is provided in which authorized members of the network may rapidly and efficiently communicate with each other regarding threats, emergencies, or other circumstances. The PSN provides virtually real-time, multi-way messages among at least the members of a predetermined group of authorized members of the PSN. The PSN may integrate sensor data from security devices such as cameras, badge readers, and smart locks, with messages created by authorized members. The PSN may also include a location data database for maintaining virtually real-time location information for authorized members. Messages may be composed using speech recognition as an alternative to typing. A system administrator may provide temporary access to first responders or other authorized entities to message threads and underlying messages maintained by the PSN. Pre-processing and de-duplication methods are disclosed for managing congestion during periods when a large number of messages are received by the PSN.",2020-01-07,utility
10531269,Network assisted device-to-device discovery for peer-to-peer applications,"The techniques introduced here provide for network assisted device-to-device communication for peer-to-peer applications. The techniques include registering a user's peer-to-peer application identifier with a peer-to-peer application server, registering a peer-to-peer application with a device-to-device server, sending a peer-to-peer service request to the peer-to-peer application server, and receiving network assistance in discovering a peer with the desired P2P content/service and establishing a device-to-device communication arrangement for exchange of peer-to-peer services.",2020-01-07,utility
10531272,PLMN specific supplementary services consistency in home and visited network,A mechanism for consistent public land mobile network (PLMN) specific supplementary services across different PLMNs or different service areas/regions of a PLMN is provided. A visited PLMN in which a subscriber unit is receiving or is attempting to receive service may be identified. Home PLMN specific supplementary services provisioned for the subscriber unit may be mapped to visited PLMN specific supplementary service codes set forth in the visited PLMN. These visited PLMN specific supplementary service codes may be used to replace the home PLMN specific supplementary service codes and transmitted to the visited PLMN using outgoing Mobile Application Part messages.,2020-01-07,utility
10531273,Handling of IMS services in a roaming scenario of a user equipment,"A method is provided for handling Internet Protocol Multimedia Subsystem (IMS) services in a roaming scenario of a user equipment. The user equipment is assigned to a home mobile communication network, and the user equipment is connected to a visited mobile communication network. The visited mobile communication network comprises at least one specific first network node among a plurality of first network nodes of the visited mobile communication network. In order to provide IMS services to the user equipment while roaming in the visited mobile communication network, the at least one specific first network node communicates with a second network node of the home mobile communication network. The method comprises: relating the user equipment to the at least one specific first network node in order to provide IMS services to the user equipment while roaming in the visited mobile communication network.",2020-01-07,utility
10531278,Embedded subscriber identity module (eSIM) implementation on a wireless communication device using distributed ledger technology (DLT),"A method of storing device information, provisioning data, and event information using distributed ledger technology (DLT). a manufacturer creates a first block of a first category comprising wireless communication device information, the block stored in a non-transitory memory of the device, a wireless communication service provider provisions device on a network, a server maintained by the wireless communication service provider creates a second block of a second category comprising information associated with the provisioning of the device, an application executing on the device stores the second block by in the non-transitory memory, creating a chain of blocks, the application uses at least part of the chain of blocks to provide authentication of the device to the network, and the block foundry server creates at least one block of a third category.",2020-01-07,utility
10531284,Determining to use multi-RAN interworking by correlating different RAN identifiers,"Certain aspects of the present disclosure provide a method for confirming identity of a user equipment (UE) registered in both a wireless local area network (WLAN) and WWAN. A method is provided for wireless communications by a base station (BS). The method generally includes establishing communications with a first UE, wherein the UE is identified by a first set of one or more identifiers in a wide area wireless network (WWAN) and by a second set of one or more identifiers in a wide local area network (WLAN), and determining, based on the first and second set of identifiers, a UE connected to the WWAN and WLAN is the first UE.",2020-01-07,utility
10531285,Method of changing profile using identification module and electronic device implementing same,"A method of changing a profile by using an identification module and an electronic device for implementing the same are provided. The electronic device may enable a profile stored in an embedded identification module to receive a wireless communication network service corresponding to the enabled profile. The method includes identifying a network selected by a user, determining whether a profile, which can use the network, is included in the identification module in accordance with the identified network, downloading the profile corresponding to the network and enabling the downloaded profile when the profile is not included in the identification module, enabling the profile when the profile is included in the identification module, and making a connection to the network based on the enabled profile.",2020-01-07,utility
10531288,Data management microservice in a microservice domain,"Disclosed in some examples are systems, methods, and machine readable mediums which provide for a data management microservice which registers and manages data across multiple microservices to reduce data fragmentation and to ensure correct disposal of this data upon request. In some examples, the data management microservice may include an erasure service which ensures that all data corresponding to a data characteristic is deleted.",2020-01-07,utility
10531298,Mutual authentication between user equipment and an evolved packet core,Methods and apparatuses are provided for operations in a wireless communication system. A universal subscriber identity module (USIM) application is identified that is configured with security credentials comprising an isolated evolved universal mobile telecommunications system terrestrial radio access network (E-UTRAN) operation for public safety (IOPS) identity and an access class for an IOPS operation. An authentication procedure is performed with an evolved node B (eNB) based on the security credentials. The security credentials are a distinct set of security credentials for the IOPS operation separate from those used for a normal operation.,2020-01-07,utility
10531299,Method and system for localizing and identifying mobile device using short-range mesh network nodes,"Various embodiments are directed to localizing and identifying a mobile computing device using a short-range mesh network. A user of the mobile computing device may be authenticated. When the mobile computing device connects to the mesh network, the location of the mobile computing device may be determined by determining which mesh network nodes the mobile computing device is connected to, triangulating the position of the mobile computing device based on signal direction via directional antennas arranged on the mesh network nodes, and/or measuring signal strength of the mobile computing device at the mesh network nodes.",2020-01-07,utility
10531301,"Network access method, apparatus, and system","The present disclosure discloses a network access method performed at a computer server in connection with a social networking platform, comprising: receiving a network access request from a first social networking account at a first terminal to a second social networking account at a second terminal, the network access request for accessing a wireless network bound to the second social networking account, the first and second social networking account both being associated with the social networking platform; forwarding the network access request to the second social networking account, the network access request including the first social networking account and an identifier of the wireless network; receiving a feedback instruction sent by the second social networking account; and sending authorization information of the wireless network to the first social networking account when the feedback instruction is an access authorization instruction, the authorization information including verification information used for accessing the wireless network.",2020-01-07,utility
10531304,Wireless tracking of power tools and related devices,"A method and system for wirelessly tracking power tools and related devices to aid with inventory management and to help minimize, prevent, and recover misplaced or stolen tools throughout the job site. The tools and/or batteries include wireless transmitting capabilities (e.g., an ISM unit) to transmit data to a fob, puck repeater, and/or gateway over an ISM network. The gateway is operable to translate and output the ISM communications over a cellular network to a remote monitoring unit, such as a personal computer or smart phone. Additionally, the gateway is further operable to translate and output cellular communications from the remote monitoring unit to ISM communications over the ISM network. A wireless tethering system and method is also disclosed whereby an ISM battery places a power tool in a lock-out or limp mode after the ISM battery remains outside of ISM communications for a prolonged period of time.",2020-01-07,utility
10531305,Service-based security per subscription and/or equipment identifiers in mobile networks,"Techniques for providing service-based security per subscription and/or equipment identifiers in mobile networks (e.g., service provider networks for mobile subscribers) are disclosed. In some embodiments, a system/process/computer program product for service-based security per subscription and/or equipment identifiers in mobile networks in accordance with some embodiments includes monitoring network traffic on a service provider network at a security platform to identify a new session, wherein the service provider network includes a 5G network or a converged 5G network; extracting subscription and/or equipment identifier information for user traffic associated with the new session at the security platform; and determining a security policy to apply at the security platform to the new session based on the subscription and/or equipment identifier information.",2020-01-07,utility
10531306,Dynamic allocation of radio resources in a wireless networks,"Embodiments herein relate to a method performed by a network node (100,12,14) for performing allocation of at least a part of a spectrum of radio resources to one or more radio network nodes in a wireless communication network (1). The network node (100,12,14) receives condition data from the one or more radio network nodes, wherein each condition data indicates a condition of a respective radio network node out of the one or more radio network nodes. The network node (100,12,14) performs an allocation of at least a part of the spectrum of radio resources to the one or more radio network nodes based on the received condition data. The network node (100,12,14) transmits to the one or more network nodes, data indicating the allocation of the at least a part of the spectrum of radio resources for the one or more radio network nodes.",2020-01-07,utility
10531309,"Systems and methods for optimizing wireless network coverage, capacity, and throughput","A wireless network optimizing node receives key performance indicators (KPIs) from a base station of a cell site providing wireless service within a geographic area, wherein the KPIs are associated with wireless communication between beams of an antenna array of the cell site and User Equipment. The node determines a current cell site capacity usage for the cell site based on current wireless network usage parameters received from the cell site and determines a need for an additional antenna array to provide adequate coverage and capacity for the geographic area based on the current cell site capacity usage and the first KPIs. The node determines an optimum location within the geographic area for adding the additional antenna array.",2020-01-07,utility
10531313,Method and system for generating and processing user-equipment-to-user-equipment probe signal,"A method that comprises identifying a group of user equipment (UEs) in a radio access network, where the group includes a transmitting UE and a plurality of receiving UEs. The method further comprises sending control information including probe signal parameters to the transmitting UE and to the receiving UEs. The method also comprises receiving, from the receiving UEs, performance metrics relating to receipt of a probe signal sent by the transmitting UE based on the probe signal parameters. The method may be implemented by a scheduler. As such, based on the feedback received, the scheduler may carry out more judicious pairing of UEs for uplink and downlink transmission, which may be particularly suitable when the UEs communicate in half-duplex fashion.",2020-01-07,utility
10531314,Heuristic optimization of performance of a radio frequency nodal network,The disclosure provides an example of a system including a radio frequency (RF) nodal network and a gateway coupled to the RF nodal network. The gateway is configured to transmit control packets the control packets having an initial parameter setting for each node in the RF nodal network. The selected nodes among the network of nodes are configured to transmit a number of test packets for each of a plurality of tests is greater than throughput saturation of the RF nodal network. The system includes a server coupled to the gateway and is configured to perform network performance analysis based on the test packets for each of the plurality of tests received by the gateway. The server updates parameter settings to optimize performance of the nodes of the RF nodal network to attain the target network performance metric based on a result of the network performance analysis.,2020-01-07,utility
10531318,Mobile data scheduling based on signal strength and user availability,"In an approach to determining and scheduling future data transfers, one or more computer processors determine one or more future data transfers. The one or more computer processors identify an intended travel path of a user over a time interval. The one or more computer processors predict a network signal strength of a user device for the intended travel path over the time interval. The one or more computer processors schedule the one or more future data transfers during the time interval based on the predicted network signal strength.",2020-01-07,utility
10531319,Information exchange between a mobile transport network and a core network,"A method (100) is disclosed, the method being performed in a network controller of a Mobile Transport Network. The Mobile Transport Network comprises communication links interconnecting network entities of a cellular Radio Access Network (RAN) and a core network. The method comprises receiving, from a network entity in the core network, an indication of traffic load within the RAN or between the RAN and the core network (102). Also disclosed is a method (200), performed in a network entity of a core network, the core network being connected to a cellular RAN by a Mobile Transport Network. The Mobile Transport Network comprises communication links interconnecting network entities of the core network and the RAN. The method (200) comprises sending to a network controller of the Mobile Transport Network an indication of traffic load within the RAN or between the RAN and the core network (202). Also disclosed are a network controller (300, 500), a core network entity (400, 600) and a computer program product configured to carry out methods in a network controller a core network entity.",2020-01-07,utility
10531323,"Systems, methods, and devices having databases and automated reports for electronic spectrum management","Systems and methods are disclosed for providing at least one report relating to a wireless communications spectrum. At least one device is operable for wideband scan; to detect and measure at least one signal transmitted from at least one signal emitting device autonomously, thereby creating signal data; to analyze the signal data in near real-time, thereby creating analyzed data; generate the at least one report in near real-time; and to communicate at least a portion of the at least one report over a network to at least one remote device.",2020-01-07,utility
10531325,"First network node, method therein, computer program and computer-readable medium comprising the computer program for determining whether a performance of a cell is degraded or not","A method performed by a first network node (110) for determining whether a performance of a cell (130) associated with a second network node (120) is degraded or not. The first network node (110) and the second network node (120) operate in a wireless communications network (100). The first network node (110) obtains (201) a first set of values making up a pattern comprising a set of values indicative of a performance of the cell (130). The first network node (110) then determines (204) a first correlation between the obtained first set of values and a generated set of values. The generated set of values is indicative of a degraded performance of the cell (130). The first network node (110) then determines (206) whether the performance of the cell (130) is degraded or not based on the determined first correlation, with respect to a first threshold.",2020-01-07,utility
10531326,Methods of controlling measurement process in RRC idle mode and apparatuses thereof,"Provided are a method and apparatus for efficiently controlling carrier aggregation of a terminal in a network using LTE or a next generation radio access technology. The method of the terminal may include receiving IDLE mode measurement configuration information for measuring a channel state in an RRC IDLE mode from a base station, performing at least one of storing and applying the IDLE mode measurement configuration information, and transmitting IDLE mode measurement result information measured in the RRC IDLE mode based on the IDLE mode measurement configuration information to the base station.",2020-01-07,utility
10531332,Virtual switch-based congestion control for multiple TCP flows,"At an application executing in conjunction with a vSwitch a determination is made that a first flow from a first VM is experiencing congestion. The first flow is selected for throttling. a second flow is also selected for throttling, the second flow using a portion of a network path used by the first flow in a data network. At the application, a total CWND adjustment is distributed between the first flow and the second flow. A first CWND value associated with the first flow is adjusted by a first portion of the total CWND window, and a second CWND value associated with the second flow is adjusted by a second portion of the total CWND window.",2020-01-07,utility
10531335,Method and arrangement for cell combination,"A method for assisting in cell combination management in a cellular communication system is presented. The method comprises obtaining of network statistics, comprising statistics associated with pairs of cells as well as cell loads. At least one candidate cell combinations selected. The candidate cell combination is a combination of cells for which a mobility measure deduced from the mobility statistics for pairs of cells participating in the combination of cells exceeds a first predetermined threshold. A total load capacity is determined for each of the candidate cell combinations. A cell combination procedure is recommended for a first cell combination. A cell combination, for which a load margin exceeds zero, is allowed to be chosen as the first cell combination. The load margin is a difference between the determined total load capacity and a sum of the cell loads. A network node performing such method is disclosed.",2020-01-07,utility
10531336,Link control in centralized deployments,"A method for cellular network operation includes establishing a transport network communication link in a cellular network between first and second infrastructure cellular entities. A first transport link control function is established within the first infrastructure cellular entity, and a pair transport link control function is established within the second infrastructure cellular entity. Data packets are transmitted through the first and second transport link control functions on the transport network communication link while allocating sequence numbers by the first transport link control function to the transmitted data packets. The pair transport link control function detects, based on the sequence numbers, a loss of a data packet transmitted by the first transport link control function and transmits a status report to the first transport link control function. The forwarding of user traffic from the first infrastructure cellular entity to the second infrastructure cellular entity is controlled responsively to the reports.",2020-01-07,utility
10531341,eCall Plus to eCall Only transition and recovery path,"Responsive to detecting transition from an eCall Plus mode to an eCall Only mode, and to acknowledgement from a service delivery network (SDN) of an alert of the transition sent to the SDN by a telematics controller, the telematics controller reattaches to a network in eCall Only mode. Responsive to transition from eCall Only mode to eCall Plus mode, the controller reattaches to the network in eCall Plus mode.",2020-01-07,utility
10531342,VoIP service state aware hand over execution,"A Network Node, a Radio Access node and methods therein for handling and supporting Hand Over, HO, in a wireless communication network are disclosed. The method in a Radio Access node comprises receiving, from a Network Node, a VoIP session notification identifying a traffic flow associated with VoIP related to a UE. The method further comprises receiving, from the Network Node, a VoIP state report for the identified traffic flow, said VoIP state report comprising a determined VoIP state, and a prediction related to a time to a VoIP state change. Further, the method comprises, when the UE is a candidate for HO: deciding whether to delay or to trigger the HO based on the VoIP state and the prediction.",2020-01-07,utility
10531343,Processing circuit switched services in an evolved packet network,"The present invention discloses for the ability for processing circuit switched (CS) services in an evolved packet network. For example, embodiments provide a method that includes: by a mobility management entity (MME), receiving a mobile terminated (MT) service indication from a mobile switching center (MSC); sending the MT service indication to user equipment (UE); and receiving an MT service response returned by the UE and performing subsequent operations according to the MT service response. In the method of the present invention, when an MT service arrives, the MME does not trigger the evolved NodeB (eNodeB) to hand over the packet switched (PS) services of the UE but notifies the UE of the MT service and performs subsequent operations according to the MT service response returned by the UE, thus avoiding the waste of network resources caused by a meaningless handover of PS services.",2020-01-07,utility
10531345,Method and device for sharing user equipment context,"A method and device for sharing a user equipment context are provided. The method for sharing a user equipment context includes: acquiring a global unique temporary identity (GUTI) of the UE in a network to which the UE is registered; in the case that a public land mobile network identity (PLMN-ID) in the GUTI is a neutral host access indicator (NHAMI) representing a unique network identity shared by a global Multefire neutral host (NH) network, determining that the network to which the UE is registered is a NH network, and acquiring a NH network identity (NHN-ID) of the NH network to which the UE is registered; and acquiring, based on the NHN-ID and the GUTI, context information of the UE in the network to which the UE is registered.",2020-01-07,utility
10531349,Method and apparatus for controlling inter-PLMN handover to CSG cell,"A method and apparatus for controlling inter-PLMN handover based on CSG lists of equivalent PLMNs is provided. A method for receiving subscriber information of a terminal at a Mobility Management Entity (MME) includes transmitting an update location request message for the terminal to a Home Subscriber Server (HSS), and receiving an update location acknowledgement message with the subscriber information of the terminal from the HSS, wherein the update location request message comprises a list of equivalent Public Land Mobile Networks (PLMNs) among which the MME supports inter-PLMN handover of the terminal. The method and apparatus for controlling inter-plan handover to a CSG cell according to the present invention is characterized in that a control apparatus of a core network acquires the allowed CSG lists for determining a User Equipments (UEs) capability of access to a CSG cell and determines whether to permit inter-PLMN handover based on the allowed CSG lists.",2020-01-07,utility
10531351,"Method for in-network, dynamic radio access network functional split configuration by radio access network data plane forwarding nodes","A method for configuring resources of a radio access network (RAN) including a radio unit includes monitoring, by a data plane node, a quality of at least one portion of a link between the radio unit and a central processing unit of the RAN; determining, by the data plane node, that the quality of the at least one portion of the link has changed relative to a previous quality of the at least one portion of the link; generating, by the data plane node according to local control logic programmed into the data plane node, a decision specifying a placement for one or more RAN functions; and transmitting, by the data plane node to one or both of the radio unit and the central processing unit, a notification including the decision specifying the placement for the one or more RAN functions.",2020-01-07,utility
10531356,VoIP and native carrier call integration,"A method for native call and VoIP call integration is disclosed, comprising: receiving, at a switch in a mobile operator network, an incoming call for a mobile device; querying a convergence gateway from the soft switch via an application programming interface (API) at the convergence gateway to determine whether the mobile device is currently engaged in a voice over IP (VoIP) call using a VoIP calling software application on the mobile device; delivering the incoming call via the soft switch over IP as a VoIP call to the VoIP calling software application on the mobile device.",2020-01-07,utility
10531358,"Method and system for routing IP based messaging, voice and video calling based on the network parameters the device is connected to and the location","A system and method for routing IP-based messaging, voice and video calling, comprising detecting network parameters of a network that a device is connected to, detecting a location of the device and routing the call based on the network parameters and the location.",2020-01-07,utility
10531362,Method and apparatus for preforming initial access based on the ACDC category in a wireless access system,"The present invention provides methods and apparatus for performing initial access based on the Application specific Congestion control for Data Communication (ACDC) category mapping scheme. One of methods for performing initial access based on an Application specific Congestion control for Data Communication (ACDC) category in a wireless access system, the method performed by a user equipment (UE) and comprising: receiving, from a home network, ACDC configuration information representing ACDC categories supported by the home network; receiving, from a serving network, ACDC category access parameters including barring information of the serving network; and performing the initial access based on the ACDC configuration information and the ACDC category access parameters when an application packet to be transmitted is generated, wherein the barring information includes barring time value and barring factor value representing a probability of denied or deferred of the initial access according to ACDC category of the serving network.",2020-01-07,utility
